label,message
ham,Hey, how have you been?
spam,Congratulations! You've won a free vacation. Click here to claim.
ham,Are we still meeting at 6?
spam,Get a loan approved instantly. No credit check!
ham,Can you send me the report by tomorrow?
spam,You have been selected for a $500 Amazon gift card. Claim now!
ham,Don't forget about our lunch tomorrow.
spam,Your account has been suspended. Verify immediately to restore access.
ham,I'll call you in 10 minutes.
spam,Free Netflix subscription for 6 months! Click the link.
ham,Where are you? I'm waiting.
spam,URGENT! Your car insurance is expiring. Renew now to avoid penalties.
ham,Let's catch up this weekend!
spam,Win a brand new iPhone 14! Just answer this simple survey.
ham,Can you please help me with this project?
spam,Your PayPal account has been compromised. Secure it now!
ham,Happy birthday! Hope you have a great day.
spam,Get 50% off on all products today only! Shop now.
ham,The movie was amazing! You should watch it.
spam,Limited-time offer: Buy 1 get 1 free on all items.
ham,I need a ride to the airport tomorrow.
spam,You’ve been pre-approved for a credit card. Apply today!
ham,Let’s go for a walk in the evening.
spam,Congrats! You are our lucky winner for a free hotel stay.
ham,I'll be there in 5 minutes.
spam,You have an unpaid toll fee. Pay now to avoid legal action.
ham,How was your day?
spam,This is your last chance to claim your free voucher.
ham,We should plan a trip soon.
spam,Your mobile number was chosen in our lucky draw! Call now.
ham,I'll pick up the groceries on my way home.
spam,Your subscription is about to expire. Renew today!
ham,Thanks for your help earlier.
spam,Get rich quick! Earn $500 daily from home.
ham,Can you send me the assignment notes?
spam,You are our exclusive VIP customer. Unlock your special discount.
ham,Let's grab coffee tomorrow morning.
spam,Your computer has been infected. Fix it now.
ham,I'll check my schedule and let you know.
spam,Earn money while you sleep! Limited-time investment opportunity.
ham,Looking forward to our meeting.
spam,Warning! Suspicious activity detected on your account. Verify now.
ham,Did you watch the match last night?
spam,Your free trial is ending. Upgrade now to continue using our services.
ham,I'll bring the documents to your office.
spam,Win $10,000 by just answering 3 simple questions.
ham,Can you recommend a good book to read?
spam,You've won a free flight ticket. Book now.
ham,What time should I come over?
spam,Final reminder: Your gift voucher is waiting to be claimed.
